userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,0.9052807092666626) (1,0.9031793475151062)* (2081,0.6883383989334106) (34,0.6869486570358276) (318,0.6586472392082214) (2687,0.6478927135467529) (2096,0.6328665018081665) (1028,0.624160647392273)* (2761,0.5929548740386963) (1097,0.5847176313400269)* (3751,0.5744806528091431) (2087,0.5720150470733643) (2085,0.559831440448761) (1198,0.5575133562088013) (480,0.5541533827781677) (593,0.551691472530365) (1704,0.5502195954322815) (2018,0.538943886756897)* (2394,0.5385363101959229) (1029,0.531145453453064)*
3613: (608,0.8792850971221924)* (6,0.7026553750038147) (1617,0.6304513812065125) (1732,0.6284767389297485) (3147,0.5895650386810303) (1466,0.5887528657913208)* (1729,0.5879206657409668) (2194,0.582809567451477) (555,0.5683913826942444) (593,0.5357354283332825) (2959,0.5320111513137817) (1222,0.5294487476348877) (1500,0.5271156430244446)* (318,0.516155481338501) (2542,0.5146345496177673) (2028,0.5141714811325073) (2391,0.5118750333786011) (1625,0.4818112850189209) (431,0.46904271841049194) (16,0.45837271213531494)
3614: (3578,0.8163044452667236) (2959,0.7634205222129822) (1127,0.759208619594574) (2683,0.7561380863189697) (2762,0.7274397611618042) (3081,0.7238254547119141)* (223,0.6894667148590088)* (2000,0.688806414604187) (2918,0.6745232343673706)* (3793,0.6706947088241577) (1200,0.6508888006210327) (3114,0.6432539224624634) (1270,0.6285691261291504) (1291,0.6263912320137024) (3623,0.6141073703765869) (1036,0.5951542854309082) (1259,0.591862678527832) (2700,0.5907881855964661) (2710,0.5902110934257507) (1196,0.5849329233169556)
3615: (919,0.8679311871528625) (923,0.7943143844604492) (1219,0.7936513423919678) (750,0.788375973701477)* (2648,0.7456549406051636) (1282,0.7378169298171997)* (1223,0.7279349565505981)* (1278,0.7148554921150208)* (3435,0.7146967053413391) (1136,0.6953102946281433) (2664,0.6896277666091919) (903,0.6840396523475647) (594,0.6796221137046814)* (904,0.6752556562423706)* (913,0.6645122766494751) (2010,0.6527015566825867) (1260,0.6422909498214722) (3629,0.6410426497459412) (968,0.6302497386932373) (2186,0.6169676184654236)*
3616: (1240,0.6060037016868591)* (858,0.5955743789672852) (589,0.583594560623169) (1221,0.5695611238479614) (260,0.5619121193885803) (1200,0.5437345504760742)* (1196,0.5339583158493042) (1036,0.5206900835037231) (1387,0.5179040431976318) (1198,0.48466062545776367) (2571,0.4677180051803589) (1210,0.46607720851898193) (2028,0.45470815896987915) (1222,0.40782061219215393) (1954,0.40538138151168823)* (2000,0.4016963839530945) (2947,0.40006354451179504) (1201,0.39578109979629517) (1291,0.3924861550331116) (3702,0.3881215453147888)*
3617: (1240,0.9897047281265259)* (1196,0.934102475643158) (924,0.8450082540512085) (1206,0.8074160814285278) (589,0.7633838653564453) (1036,0.7609091401100159) (1210,0.7416653633117676) (2571,0.739861786365509) (1221,0.7054517269134521) (858,0.7036691308021545) (750,0.6939008235931396) (3702,0.6669266223907471) (1193,0.6423643827438354) (3527,0.633554220199585) (2529,0.6278655529022217) (1199,0.6261394619941711) (2028,0.6224796772003174) (1374,0.6138051152229309) (1219,0.6105579137802124) (1225,0.5969840884208679)
3618: (3408,0.8869268894195557) (318,0.8103408813476562)* (1959,0.7593446969985962) (920,0.7236142754554749)* (1704,0.709464967250824) (969,0.6918823719024658) (1250,0.6569522023200989) (1183,0.6467394232749939) (356,0.6410921812057495) (1271,0.6396617889404297) (3510,0.6395394802093506) (2686,0.6349514722824097) (904,0.6264982223510742) (36,0.6230208277702332) (3147,0.6226281523704529) (1247,0.6016690731048584)* (1231,0.5933836698532104) (1393,0.5925562381744385) (2336,0.5923854112625122) (1299,0.579895555973053)
3619: (3623,1.374597430229187) (2683,1.1860532760620117) (2433,1.0590920448303223) (3555,0.9868335723876953) (3510,0.9453340768814087) (3798,0.9283286333084106) (2959,0.9113140106201172)* (2490,0.9077175855636597) (3147,0.8499559760093689)* (3176,0.8494858741760254) (2355,0.834039568901062) (3717,0.809251606464386) (1093,0.7886841297149658)* (3298,0.7834924459457397) (3219,0.7577149868011475) (2013,0.7507444620132446) (3793,0.7464311718940735) (3513,0.7453951239585876) (2541,0.7380857467651367) (2770,0.7260251045227051)
3620: (3578,1.2833839654922485)* (589,1.2641503810882568) (1036,1.0636379718780518)* (608,1.0535802841186523)* (2916,1.022247314453125)* (1089,0.9765964150428772) (3555,0.9038135409355164) (2194,0.8718782663345337) (474,0.8560134172439575) (1222,0.8552302718162537) (2959,0.8333035707473755) (733,0.8227384090423584) (3408,0.8167504668235779) (1127,0.8156522512435913) (1573,0.8032301068305969)* (1214,0.7899115085601807) (1090,0.7812224626541138)* (3510,0.7684186100959778) (1580,0.7594448328018188) (2763,0.7478069067001343)*
3621: (903,0.8190417289733887)* (923,0.7602807879447937)* (1204,0.7313770055770874) (1136,0.7160378098487854)* (1250,0.7092031836509705) (913,0.7078796625137329) (1212,0.6790788173675537) (3471,0.6725281476974487) (1200,0.6559813618659973) (1214,0.6484259366989136) (2968,0.6322683095932007) (1090,0.6277610659599304) (260,0.6196146011352539)* (912,0.617443323135376) (1225,0.6172032952308655) (1233,0.6028047800064087)* (1196,0.5785841345787048) (1228,0.5641922354698181) (1207,0.5608304738998413) (50,0.5594984889030457)
3622: (260,0.8097344636917114)* (1197,0.7831839323043823)* (541,0.7829151749610901)* (899,0.7442895174026489) (919,0.7299866080284119)* (1947,0.7030799388885498) (914,0.7012414932250977) (969,0.6928247213363647) (1307,0.6927707195281982) (1210,0.6797498464584351) (920,0.6619305610656738) (1240,0.6571677923202515) (1148,0.6538562774658203)* (904,0.6506844162940979) (1270,0.648758053779602) (1200,0.6446582674980164) (1617,0.641025722026825) (1674,0.6256334781646729) (1214,0.6239838004112244) (2987,0.6100261211395264)
3623: (2186,0.8335811495780945) (942,0.8241819143295288)* (913,0.8134483098983765)* (930,0.774071216583252) (3334,0.7631510496139526) (1267,0.7278112173080444) (1617,0.7276158332824707) (2066,0.7120006084442139) (1260,0.6244843006134033) (2203,0.6229814887046814) (1212,0.6149402260780334) (1069,0.6019074320793152) (908,0.5342519879341125) (3683,0.5213555693626404) (903,0.5084896087646484) (928,0.4785468280315399) (912,0.4753163456916809) (904,0.46308302879333496) (541,0.46242058277130127)* (2726,0.46153780817985535)
3624: (589,1.2418044805526733)* (480,1.1669974327087402)* (2916,1.126753330230713)* (1527,1.0754780769348145)* (1240,1.0508629083633423)* (541,1.0258910655975342)* (316,1.0127184391021729)* (2021,0.9890952110290527)* (1653,0.9716544151306152)* (780,0.9573332071304321) (223,0.920943021774292)* (1748,0.8984265327453613)* (3527,0.8948954343795776) (2858,0.8834903240203857) (2997,0.86715167760849) (2529,0.8508927822113037)* (3702,0.8208667039871216) (1215,0.7989503145217896) (2710,0.7880562543869019) (1291,0.7851361632347107)
3625: (593,1.1056203842163086) (2571,1.0923354625701904)* (733,1.037968397140503) (349,0.9346374273300171) (2916,0.9190157651901245) (648,0.9099042415618896)* (474,0.9018090963363647) (377,0.8993642330169678) (3256,0.8989533185958862) (47,0.8892949819564819) (527,0.8829197287559509) (1580,0.8772492408752441) (2628,0.8746744990348816) (780,0.8688002228736877) (1721,0.8590769171714783) (608,0.8276026248931885) (1704,0.8251667618751526) (2763,0.8147731423377991) (296,0.8145655393600464) (1370,0.8103017807006836)
3626: (2694,1.447070598602295)* (2000,1.0533894300460815)* (3273,1.0441741943359375)* (3005,1.0093133449554443) (1608,0.9601748585700989)* (434,0.9272959232330322)* (1918,0.9263993501663208)* (2541,0.8912587761878967)* (2490,0.883121132850647) (648,0.8596557378768921) (2003,0.8586024045944214) (10,0.8548029661178589)* (2722,0.8481331467628479)* (2617,0.839461088180542) (2353,0.8327847719192505)* (292,0.8287073373794556) (3510,0.8276858329772949) (3798,0.8264296054840088) (3552,0.8209360837936401) (380,0.8164881467819214)*
3627: (1230,0.5182590484619141) (2997,0.4616319537162781) (3174,0.4105609059333801) (3147,0.36804741621017456) (2908,0.35659125447273254) (1304,0.3491007387638092) (1235,0.33743780851364136)* (2976,0.3318174481391907) (3129,0.32391244173049927) (3623,0.3193497061729431) (3812,0.3191448152065277) (3814,0.3162403404712677) (1732,0.31044042110443115)* (3006,0.3018493056297302) (3763,0.295663058757782) (2712,0.2944134771823883) (2949,0.2901932895183563) (3801,0.28170883655548096) (3543,0.27979907393455505) (913,0.2767753601074219)
3628: (2706,1.173001766204834) (2683,1.0575830936431885) (2688,0.9370144605636597) (2694,0.9283120632171631) (3005,0.9256117343902588)* (2762,0.8944904804229736) (223,0.8434550762176514) (3578,0.8231399059295654)* (2997,0.822672963142395) (2908,0.8169453144073486) (3176,0.8074300289154053) (2336,0.781154990196228) (2841,0.7370576858520508) (3203,0.7148697972297668) (2770,0.7114255428314209) (2881,0.7098711729049683) (2580,0.7077973484992981) (3160,0.703459620475769) (2710,0.6986637115478516) (3298,0.6971666216850281)*
3629: (912,0.9641623497009277) (1207,0.8402742743492126) (1221,0.8361284732818604) (904,0.8321042060852051) (913,0.8130860924720764) (969,0.8102108836174011)* (1193,0.8043694496154785) (3095,0.8032738566398621) (1267,0.791069507598877) (750,0.7614254951477051) (1262,0.7330166101455688) (1212,0.7309777140617371)* (1247,0.72408127784729) (3468,0.7025482058525085) (608,0.7006871700286865)* (1284,0.6865584254264832) (1219,0.6859495639801025)* (1230,0.6854916214942932) (260,0.6831652522087097)* (2019,0.6632962822914124)
3630: (260,1.0592565536499023) (110,0.9784430861473083)* (1198,0.9232258796691895) (457,0.9007518291473389)* (1580,0.8759690523147583) (2762,0.8683964014053345) (480,0.8447561264038086)* (2683,0.8310491442680359)* (223,0.8289909958839417) (1200,0.8051919937133789) (733,0.8049289584159851) (2916,0.7986514568328857) (2959,0.7978211641311646)* (858,0.7756503820419312) (2700,0.7580321431159973)* (1527,0.7250492572784424) (1610,0.7181183695793152) (6,0.7038017511367798) (593,0.6958388090133667)* (780,0.695568859577179)
3631: (1198,1.2263340950012207)* (1200,1.0967864990234375) (1214,0.9716281890869141) (480,0.9547135829925537) (2916,0.9471913576126099) (1610,0.8957116603851318)* (1374,0.8445281386375427) (858,0.812106728553772) (2000,0.7932164072990417) (3793,0.7924953699111938) (1580,0.7682361602783203) (1127,0.7534182071685791) (1387,0.7473948001861572)* (2947,0.7323803305625916) (541,0.7292936444282532) (1242,0.7283682227134705) (2628,0.7283541560173035) (1221,0.7183905839920044) (733,0.7107151746749878) (3702,0.6934139132499695)*
3632: (2683,0.8386165499687195) (3623,0.7347382307052612)* (3578,0.7289203405380249) (2762,0.6827765107154846) (2355,0.6768889427185059) (2694,0.6556118726730347) (3408,0.6403608322143555) (2959,0.6084363460540771) (3005,0.5995243787765503) (2858,0.5592128038406372) (2997,0.558438241481781) (3510,0.5565294027328491) (2716,0.553557276725769) (3753,0.5400927066802979) (3793,0.5200397372245789) (2707,0.518614649772644) (2770,0.5107200145721436) (2688,0.5060827732086182)* (3114,0.5039029717445374) (3081,0.4938475489616394)
3633: (1196,0.6631577610969543) (1210,0.6600757241249084) (1221,0.6597819328308105) (2028,0.6189455986022949) (1387,0.5990632772445679) (1240,0.5690162777900696) (1036,0.5467329621315002) (1201,0.49891340732574463) (1262,0.49574241042137146) (608,0.48608794808387756) (593,0.484283983707428) (3654,0.48253291845321655) (2947,0.475542277097702) (1214,0.47313541173934937) (2000,0.4641900658607483) (3753,0.46235474944114685) (589,0.44799622893333435) (1291,0.443977415561676) (1213,0.4392774999141693) (1200,0.43635624647140503)
3634: (3578,0.7055484056472778) (3753,0.641790509223938) (3623,0.5927048921585083) (3555,0.5289718508720398)* (3793,0.46223777532577515) (780,0.45248401165008545) (733,0.43879973888397217) (3755,0.43835803866386414) (3624,0.42356187105178833) (3408,0.41984260082244873) (2762,0.41843467950820923) (2763,0.4132382869720459) (2628,0.40792378783226013) (2571,0.40659311413764954) (3510,0.405010849237442) (457,0.3917219042778015) (2959,0.3809262216091156) (648,0.3656698167324066) (3301,0.3639727234840393) (3617,0.3606659173965454)
3635: (913,1.2552123069763184)* (2186,1.1470131874084473)* (1252,1.1222926378250122)* (951,1.0067977905273438)* (1212,0.9405938982963562) (928,0.9266877174377441)* (916,0.9119927883148193) (1283,0.8915208578109741)* (1069,0.8812105059623718)* (905,0.8712417483329773) (2019,0.7819579243659973) (2208,0.7785936594009399) (3365,0.7705342769622803)* (947,0.7616503834724426) (955,0.7554957866668701)* (3134,0.7448165416717529) (1254,0.7395823001861572) (1944,0.7332600355148315)* (3730,0.7313976287841797) (920,0.7228794097900391)
3637: (2706,1.384490966796875) (2959,1.1138012409210205) (2355,1.0322797298431396) (2770,0.9385768175125122) (2987,0.920767068862915) (2700,0.9141035079956055) (2396,0.9062471985816956) (2502,0.892949104309082) (3081,0.8863776922225952) (3160,0.8781368732452393) (3175,0.8768767714500427) (2908,0.8724991083145142) (2710,0.8634567260742188) (2694,0.8522688150405884) (2712,0.8252149224281311) (3114,0.8221762180328369) (3176,0.8155391812324524) (1093,0.7938834428787231) (2336,0.7735809683799744) (2541,0.7650771141052246)
3638: (2716,0.7549076080322266) (1374,0.7388355731964111)* (1196,0.7123292684555054) (1210,0.7103264331817627) (1198,0.6733246445655823)* (969,0.6093143224716187) (1197,0.6013414859771729)* (1376,0.5767760872840881) (541,0.5732396245002747) (3578,0.5526193976402283) (1240,0.5513588190078735) (1214,0.5510231852531433) (2105,0.5434594750404358) (1200,0.538428783416748) (2013,0.5277684330940247) (3793,0.5249086618423462) (1019,0.5211514234542847) (3702,0.5208918452262878) (3703,0.5174827575683594) (3203,0.5168417096138)
3640: (3578,0.8729853630065918) (3753,0.8507932424545288)* (2762,0.6727009415626526) (3176,0.6704572439193726) (3793,0.6532512307167053) (3301,0.5919617414474487)* (3798,0.5802902579307556) (3624,0.5435957908630371) (2959,0.5309035181999207) (2001,0.5299243330955505) (3081,0.514112651348114)* (3785,0.511252760887146) (2997,0.49009284377098083) (736,0.48663896322250366) (2605,0.4841732978820801) (3654,0.4838547706604004) (3617,0.483299195766449) (3006,0.4775436520576477) (3717,0.46790921688079834) (3752,0.46720221638679504)
3641: (1387,0.7784864902496338)* (1997,0.7695711851119995) (2401,0.7493352890014648) (2951,0.7262130975723267) (2194,0.7238091230392456) (3552,0.7224910259246826)* (3703,0.7203876376152039)* (2959,0.6753291487693787) (3471,0.6656914949417114) (1036,0.6611531972885132) (1358,0.6510568261146545)* (1093,0.645494818687439) (555,0.645244300365448)* (6,0.6432067155838013) (785,0.6427851915359497)* (590,0.6408054232597351) (3735,0.6401964426040649)* (3543,0.6382843255996704) (1953,0.6371343731880188) (47,0.6313013434410095)
3643: (589,1.1432137489318848) (1617,1.0642189979553223)* (593,0.9983685612678528)* (2762,0.9569991230964661)* (2916,0.9037824869155884)* (2858,0.8602175116539001) (318,0.8536391258239746) (480,0.8456422686576843) (2396,0.8410238027572632) (47,0.8296049237251282) (1210,0.7991927862167358) (6,0.7938779592514038) (527,0.7861647009849548) (2959,0.777443528175354) (1240,0.7645790576934814)* (733,0.7638248205184937) (1213,0.7637890577316284) (1200,0.7310736775398254) (3753,0.7136568427085876) (1527,0.7099724411964417)
3644: (223,0.829018235206604) (2997,0.7845966815948486) (2858,0.6915336847305298) (2959,0.6644927859306335) (2692,0.6195113658905029)* (2706,0.5481662750244141) (1060,0.53859543800354) (2762,0.5288413166999817) (2502,0.52374267578125) (608,0.5165195465087891) (2336,0.5163567066192627) (2908,0.5129728317260742) (318,0.5076718330383301) (2542,0.5006091594696045) (1213,0.4953160881996155)* (2683,0.4851374328136444) (2700,0.46445906162261963) (778,0.4497581124305725) (3174,0.4264637231826782) (1093,0.4158475399017334)
3645: (1198,1.010392427444458) (1374,0.9629884958267212) (924,0.9179890751838684) (1036,0.8492727279663086) (3702,0.8437005281448364) (1206,0.8356497287750244) (2916,0.8321546316146851) (2968,0.8034968376159668) (1199,0.7888530492782593) (3175,0.7806042432785034) (3703,0.7518463134765625) (1387,0.7496510744094849) (32,0.7246299982070923) (2716,0.7235416173934937)* (2791,0.7179930210113525) (1127,0.711840033531189) (1259,0.7015759944915771) (858,0.6921328902244568) (110,0.6739358901977539) (1356,0.6583975553512573)
3646: (1240,1.2380670309066772) (1206,1.071164608001709) (1199,0.9705029129981995)* (2529,0.9638797640800476) (1253,0.8950471878051758) (1374,0.8656178116798401)* (2664,0.8506062626838684)* (1748,0.8443670868873596)* (1301,0.8428121209144592) (3527,0.8399949073791504)* (3471,0.8375577330589294)* (2968,0.8240127563476562) (913,0.8101329803466797) (480,0.8090126514434814)* (32,0.797169029712677) (1580,0.7941451668739319) (2662,0.7756813168525696)* (2010,0.7128998041152954) (908,0.7005285024642944) (1653,0.6924967169761658)
3647: (1148,0.6361078023910522) (750,0.5546562671661377) (541,0.5438932180404663) (745,0.5247147083282471) (2019,0.5007835626602173) (1206,0.4706402122974396) (1223,0.46957874298095703) (1196,0.46125781536102295) (3751,0.4585387706756592) (1214,0.45690423250198364) (2300,0.44540539383888245) (1077,0.44162631034851074) (3022,0.4389110505580902) (924,0.4364650249481201) (2010,0.43416357040405273) (923,0.4340895712375641) (1204,0.431440144777298) (1278,0.42530357837677) (1230,0.42350563406944275) (1080,0.4190107583999634)
3648: (2694,1.147546410560608) (733,1.015890121459961) (104,0.9693495035171509)* (3578,0.9517836570739746)* (223,0.9373244643211365) (1370,0.923897922039032) (457,0.8639175891876221)* (47,0.8253535628318787)* (6,0.8153694868087769) (70,0.798424243927002) (1210,0.794070839881897)* (2058,0.7913248538970947) (2700,0.7794526815414429) (3623,0.7760903239250183) (1777,0.7658154964447021) (648,0.7640518546104431) (50,0.7634592056274414)* (1552,0.7619304060935974)* (593,0.7568803429603577) (231,0.7545028924942017)
3649: (1307,0.6640185117721558) (2918,0.6173204183578491) (1036,0.5947284698486328) (1225,0.5893449187278748) (2716,0.583172082901001) (1240,0.5601574182510376) (1198,0.5494145154953003) (1968,0.5447854399681091) (1394,0.5403457283973694) (2791,0.5342709422111511) (2797,0.5274621844291687)* (1079,0.5271376371383667) (2081,0.5195931196212769) (1961,0.5161710381507874) (919,0.5115082263946533) (1197,0.4996849298477173) (1387,0.49770498275756836) (3471,0.49665042757987976) (2804,0.49642905592918396) (1219,0.49451881647109985)
3650: (356,0.9580889940261841)* (3256,0.9429373145103455)* (349,0.9415059089660645)* (780,0.9378215074539185)* (165,0.9078407883644104) (1573,0.879427433013916) (1393,0.871776819229126)* (3753,0.86392742395401) (3527,0.842595636844635) (648,0.8172765970230103)* (1101,0.7976582646369934)* (3555,0.7915047407150269) (2353,0.7682837843894958) (1580,0.7642329931259155) (1210,0.7616218328475952)* (736,0.7600840330123901) (1722,0.7530696392059326) (1584,0.7503030300140381) (1704,0.7469785213470459) (3510,0.742496907711029)
3651: (457,0.8862426280975342)* (47,0.8691295981407166)* (474,0.7861196994781494)* (1036,0.77744460105896)* (1240,0.7614808678627014)* (2278,0.7549065351486206)* (1573,0.7472357153892517)* (1213,0.7307408452033997)* (541,0.7117000818252563)* (1267,0.6893714666366577)* (296,0.6831970810890198)* (2951,0.6791526079177856)* (1625,0.6717550754547119) (480,0.6701724529266357) (349,0.6633604764938354)* (2058,0.65613853931427) (3578,0.6356430053710938) (1179,0.6346608996391296)* (866,0.6287378072738647)* (1266,0.6277887225151062)
3652: (223,1.2880115509033203)* (2706,1.1316231489181519)* (1148,1.0588316917419434)* (1580,0.982225239276886) (1197,0.8694690465927124)* (2959,0.8533645868301392) (1223,0.800264835357666) (551,0.7971550226211548)* (2987,0.794068455696106)* (589,0.7918516397476196)* (2321,0.7880645394325256) (588,0.780888020992279) (3745,0.7703721523284912) (1215,0.7667129039764404) (2770,0.7658480405807495) (3174,0.7585826516151428) (3033,0.7531530857086182)* (741,0.7509130835533142) (1748,0.7506435513496399) (1240,0.7494732141494751)
3653: (1240,1.098687767982483) (1270,0.956256628036499)* (480,0.9479013681411743) (541,0.9268763065338135) (1214,0.9261208772659302) (1198,0.9159500002861023) (1291,0.9000823497772217) (3527,0.8745294809341431)* (110,0.831886887550354) (1127,0.8280316591262817) (2628,0.8180346488952637) (3175,0.8179582357406616) (1036,0.8043375611305237) (32,0.7823399305343628)* (1356,0.7645398378372192) (608,0.7536657452583313) (1097,0.7407418489456177) (2028,0.7394710183143616) (457,0.7265727519989014) (593,0.7257213592529297)*
3654: (1240,1.197791576385498)* (1527,1.1928684711456299)* (480,1.1764028072357178)* (1200,1.1280019283294678)* (1127,1.1127923727035522) (2997,1.0735247135162354) (1291,1.0712921619415283)* (110,1.068354845046997) (2028,1.0135612487792969) (1214,0.9629815816879272)* (733,0.9596513509750366) (2700,0.9083823561668396)* (1573,0.8955310583114624) (2490,0.8834025263786316) (3527,0.8805763721466064)* (1748,0.8720614910125732) (1275,0.8572907447814941) (1372,0.8545790910720825) (2683,0.8503650426864624) (1148,0.8479191660881042)
3655: (1210,0.766058087348938) (1197,0.7236684560775757) (1291,0.7212586402893066) (2571,0.691840410232544) (1097,0.6334302425384521)* (318,0.6289583444595337)* (2028,0.6208255887031555)* (593,0.6161493062973022) (110,0.6150635480880737) (541,0.589158296585083) (1073,0.5698914527893066) (1200,0.5575529336929321) (1240,0.5467792749404907) (1214,0.5417079925537109) (480,0.530306875705719) (919,0.5228018164634705) (589,0.5157012939453125) (2140,0.511870265007019) (1967,0.5063472986221313) (1036,0.5025619864463806)
3656: (3654,0.47764718532562256) (3763,0.4626840054988861) (2000,0.4064282178878784) (3639,0.390308141708374) (3176,0.38395941257476807) (1235,0.36303991079330444)* (2947,0.3451196849346161) (1244,0.33419114351272583) (3801,0.32104700803756714) (3814,0.3172924518585205) (1953,0.31578201055526733) (1078,0.31533390283584595) (1625,0.3149421215057373) (1201,0.31283119320869446) (2997,0.3118594288825989) (3623,0.31043803691864014) (3635,0.3078160285949707) (3812,0.30624890327453613) (780,0.2985045909881592) (3633,0.2976892590522766)
3657: (110,0.7005577683448792)* (3578,0.6694651246070862) (733,0.6636065244674683) (2490,0.6318231821060181) (457,0.624997615814209) (1370,0.6161757707595825) (2028,0.6103788018226624) (2058,0.5988541841506958) (1527,0.5950841903686523) (165,0.5907638072967529) (377,0.588996171951294) (589,0.5817145109176636) (2353,0.5588144063949585) (1610,0.5555006861686707)* (780,0.5498826503753662) (2916,0.5449239611625671) (349,0.5447441935539246) (10,0.5355260968208313) (3256,0.5290119647979736) (1722,0.5260944366455078)
3658: (1253,1.2176400423049927) (541,0.9899689555168152)* (2948,0.8958949446678162) (908,0.8948909044265747)* (589,0.8331639170646667)* (904,0.8275789618492126) (2010,0.8001588582992554) (2660,0.7862669825553894) (1284,0.7808758020401001) (3703,0.7674294710159302)* (2186,0.7558689117431641) (2648,0.7418345212936401) (1997,0.7349122166633606)* (2287,0.734641969203949) (1212,0.7227445840835571) (3932,0.7204650044441223) (913,0.7190210819244385) (2366,0.6989631652832031) (1019,0.6988362073898315) (3927,0.696548342704773)
3659: (3408,1.2183477878570557) (3555,1.0949680805206299)* (2762,1.0874061584472656) (296,1.0066792964935303)* (3897,0.9942212104797363) (593,0.9886629581451416) (50,0.9611507654190063)* (3624,0.9595681428909302) (3160,0.9449564218521118) (3617,0.912016749382019) (2706,0.8843881487846375) (3752,0.8783358931541443)* (223,0.8600584864616394) (3798,0.8561574816703796) (3948,0.8475907444953918) (3751,0.8466370105743408) (1089,0.8066885471343994)* (2599,0.7857677936553955)* (3174,0.7793244123458862) (3006,0.777808666229248)
3660: (1240,1.2357370853424072) (1200,1.1931039094924927)* (2571,1.0951759815216064) (3471,1.0176827907562256)* (1196,1.0033694505691528)* (2288,0.9411178827285767) (1210,0.9303872585296631)* (1199,0.9066697359085083) (750,0.8977265357971191)* (2662,0.8895055651664734)* (480,0.8820456266403198)* (3702,0.8595284223556519) (1580,0.8253682851791382)* (32,0.8193723559379578) (1653,0.8119895458221436)* (3703,0.802983283996582) (1356,0.798694372177124) (1376,0.7645218372344971)* (2021,0.7424651384353638) (1748,0.7421373128890991)
3661: (260,1.2565460205078125) (1210,1.130487322807312) (2947,1.0234650373458862) (3527,0.9494680166244507)* (1304,0.933851957321167)* (2529,0.9315292835235596) (2948,0.9137678742408752) (2028,0.8543834686279297)* (1127,0.8536020517349243) (541,0.8421112298965454) (1197,0.8397296071052551)* (1222,0.829157829284668) (2949,0.7989984154701233) (2985,0.7945287227630615) (2951,0.7904555201530457) (1129,0.7420270442962646)* (969,0.7288140654563904) (2662,0.728092610836029) (1287,0.7222211360931396) (3578,0.7153610587120056)
3662: (2664,2.176114082336426)* (2454,1.911870002746582) (2553,1.8451752662658691) (1301,1.826418399810791)* (2662,1.6255085468292236)* (2654,1.5514147281646729) (2644,1.5348620414733887) (2648,1.51948881149292) (2288,1.4943671226501465) (3932,1.4829111099243164) (2661,1.4734669923782349)* (2010,1.3812000751495361) (3930,1.3568195104599) (2459,1.3243989944458008) (1019,1.3197088241577148) (2901,1.294830560684204) (2780,1.2825671434402466) (1340,1.2640771865844727) (2651,1.2128475904464722) (2665,1.193694829940796)*
3663: (589,1.2637083530426025) (2571,1.1238253116607666) (457,1.0570679903030396) (733,0.9584574103355408) (3256,0.908595085144043) (2353,0.8745535016059875) (110,0.8649681806564331) (1210,0.8556976914405823) (1608,0.8514115810394287)* (1291,0.8443094491958618) (380,0.8417861461639404) (1356,0.8215734958648682) (2028,0.8121650218963623) (1196,0.7881779670715332) (474,0.7827227115631104) (2628,0.7775866985321045) (165,0.7766795754432678) (260,0.769203782081604) (1527,0.767790675163269) (1200,0.7624430656433105)
3664: (2396,0.6271791458129883) (2324,0.6009690165519714) (1704,0.5364574193954468) (1197,0.5336630940437317)* (593,0.5335948467254639) (1265,0.5309484601020813) (2918,0.5234938859939575) (2762,0.5206298828125) (50,0.4927634596824646) (1307,0.4836733639240265) (608,0.4808764159679413) (296,0.4494948387145996) (858,0.4485832750797272) (2028,0.4483414888381958) (1148,0.4428800940513611) (1193,0.4421460032463074) (110,0.4354938864707947) (1225,0.4241187274456024) (260,0.4240158200263977) (17,0.42368632555007935)
3665: (1210,1.1308250427246094) (1196,1.1053738594055176) (1200,1.055527687072754) (1214,1.0461316108703613)* (1240,1.029573678970337)* (2571,1.0279130935668945) (589,0.9689486026763916)* (541,0.9654685258865356)* (1356,0.9495817422866821) (1291,0.9422900676727295)* (1097,0.9165561199188232) (595,0.8949079513549805) (2140,0.8813567161560059)* (3114,0.8795862197875977)* (2529,0.8517207503318787) (1127,0.8474382758140564) (2105,0.8353308439254761) (1022,0.830714762210846) (3702,0.8236516118049622) (919,0.8171830773353577)
3666: (1198,1.2619104385375977)* (1240,1.1977839469909668) (1214,1.0587022304534912) (457,1.0547358989715576) (1610,0.9782145023345947) (1221,0.9650576114654541)* (1200,0.9567400813102722) (1580,0.8366044759750366) (1954,0.8354374766349792)* (2916,0.8136603236198425) (2000,0.8110431432723999) (1201,0.8105053901672363) (1374,0.8055820465087891) (3578,0.8035484552383423) (1197,0.785010814666748)* (2194,0.7480659484863281) (3753,0.7186557054519653) (2529,0.7167225480079651) (3654,0.6988937854766846)* (3527,0.6964778900146484)
3667: (2355,0.9305622577667236) (3114,0.8913074731826782) (595,0.8257831335067749) (1,0.8250522613525391) (364,0.814497709274292)* (1028,0.7821364402770996) (1907,0.7819927334785461) (2081,0.7354599237442017) (1022,0.6777781248092651) (2687,0.6776785850524902) (2085,0.6745157837867737) (34,0.6502116918563843) (2096,0.6377602815628052) (2394,0.6279945969581604) (2087,0.6274218559265137) (1566,0.6203606128692627) (48,0.6061323285102844) (783,0.6008450388908386) (594,0.581445038318634) (317,0.5810549259185791)
